product_id,sku_id,referencia,ean,nombre,marca,descripcion,link_texto,url_producto,categoria_id,categoria_nombre,categoria_id_vtex,precio_normal,precio_oferta,precio_unitario,unidades_por_pack,descuento_pct,tiene_descuento,disponible,moneda,cuotas_max,cuota_valor,oferta_valida_hasta,promos_activas,colecciones,num_colecciones,imagen_url,fecha_extraccion
77147,80686,20146505,7702045260298,Tinte PALETTE COLOR CREAM 4-0 Castaño Medio Caja 100ml,PALETTE,,tinte-palette-color-cream-40-castano-medio-caja-100ml,https://www.makro.plazavea.com.pe/tinte-palette-color-cream-40-castano-medio-caja-100ml/p,298,Cuidado del Cabello,312,12.9,12.9,0.13,100,,False,True,PEN,1.0,12.9,3000-01-02T05:00:00Z,,Colección FOOD Express,1,https://plazavea.vteximg.com.br/arquivos/ids/31305072/20146505.jpg?v=638822598498900000,2026-05-04 09:40
77142,80663,20146516,7702045087895,Tinte PALETTE COLOR CREAM 1-0 Negro Caja 100ml,PALETTE,,tinte-palette-color-cream-10-negro-caja-100ml,https://www.makro.plazavea.com.pe/tinte-palette-color-cream-10-negro-caja-100ml/p,298,Cuidado del Cabello,312,12.9,12.9,0.13,100,,False,True,PEN,1.0,12.9,3000-01-02T05:00:00Z,,Colección FOOD Express,1,https://plazavea.vteximg.com.br/arquivos/ids/31305056/20146516.jpg?v=638822598266930000,2026-05-04 09:40
75316,78745,20190691,7898587770699,Tinte para Cabello GARNIER Cor Intensa 7.1,GARNIER,,tinte-para-cabello-garnier-cor-intensa-7-1,https://www.makro.plazavea.com.pe/tinte-para-cabello-garnier-cor-intensa-7-1/p,298,Cuidado del Cabello,312,12.9,12.5,12.5,1,3.1,True,True,PEN,1.0,12.5,3000-01-02T05:00:00Z,,Colección FOOD Express | plazaVea | Cuidado Personal|L 01.05 al  03.05,2,https://plazavea.vteximg.com.br/arquivos/ids/498530/20190691.jpg?v=637405561050130000,2026-05-04 09:40
75310,78741,20190697,7898587775939,Tinte para Cabello GARNIER Cor Intensa 7.7,GARNIER,,tinte-para-cabello-garnier-cor-intensa-7-7,https://www.makro.plazavea.com.pe/tinte-para-cabello-garnier-cor-intensa-7-7/p,298,Cuidado del Cabello,312,12.9,12.5,12.5,1,3.1,True,True,PEN,1.0,12.5,3000-01-02T05:00:00Z,,Colección FOOD Express,1,https://plazavea.vteximg.com.br/arquivos/ids/498533/20190697.jpg?v=637405561147900000,2026-05-04 09:40
75307,78764,20190694,7899026462557,Tinte para Cabello GARNIER Cor Intensa 3.0,GARNIER,,tinte-para-cabello-garnier-cor-intensa-3-0,https://www.makro.plazavea.com.pe/tinte-para-cabello-garnier-cor-intensa-3-0/p,298,Cuidado del Cabello,312,12.9,12.5,12.5,1,3.1,True,True,PEN,1.0,12.5,3000-01-02T05:00:00Z,,Colección FOOD Express | plazaVea | Cuidado Personal|L 01.05 al  03.05,2,https://plazavea.vteximg.com.br/arquivos/ids/498527/20190694.jpg?v=637405560957930000,2026-05-04 09:40
75298,78747,20190687,7898587770668,Tinte para Cabello GARNIER Cor Intensa 8.1,GARNIER,,tinte-para-cabello-garnier-cor-intensa-8-1,https://www.makro.plazavea.com.pe/tinte-para-cabello-garnier-cor-intensa-8-1/p,298,Cuidado del Cabello,312,12.9,12.5,12.5,1,3.1,True,True,PEN,1.0,12.5,3000-01-02T05:00:00Z,,Colección FOOD Express | plazaVea | Cuidado Personal|L 01.05 al  03.05,2,https://plazavea.vteximg.com.br/arquivos/ids/498528/20190687.jpg?v=637405560987730000,2026-05-04 09:40
75289,78757,20190686,7899026462625,Tinte para Cabello GARNIER Cor Intensa 6.0,GARNIER,,tinte-para-cabello-garnier-cor-intensa-6-0,https://www.makro.plazavea.com.pe/tinte-para-cabello-garnier-cor-intensa-6-0/p,298,Cuidado del Cabello,312,12.9,12.5,12.5,1,3.1,True,True,PEN,1.0,12.5,3000-01-02T05:00:00Z,,Colección FOOD Express | plazaVea | Cuidado Personal|L 01.05 al  03.05,2,https://plazavea.vteximg.com.br/arquivos/ids/498532/20190686.jpg?v=637405561117930000,2026-05-04 09:40
72869,75550,20131564,7750075041257,Gel para Cabello THE BARBERIA Máxima Fijación Frasco 220ml,THE BARBERIA,,gel-para-cabello-the-barberia-maxima-fijacion-frasco-220ml,https://www.makro.plazavea.com.pe/gel-para-cabello-the-barberia-maxima-fijacion-frasco-220ml/p,298,Cuidado del Cabello,311,13.9,11.9,11.9,1,14.4,True,True,PEN,1.0,11.9,3000-01-02T05:00:00Z,,Colección FOOD Express | Menú Día del Padre | Gel de Cabello | Cyber Wow Supermercado Julio | Ver todo,3,https://plazavea.vteximg.com.br/arquivos/ids/34332601/20131564.jpg?v=639124913274200000,2026-05-04 09:40
67925,70212,20188145,7804915515962,Shampoo BIOTEC Spiderman 3 en 1 Frasco 350ml,BIOTEC,,shampoo-biotec-spiderman-3-en-1-frasco-350ml,https://www.makro.plazavea.com.pe/shampoo-biotec-spiderman-3-en-1-frasco-350ml/p,298,Cuidado del Cabello,308,19.9,19.9,19.9,1,,False,True,PEN,1.0,19.9,3000-01-02T05:00:00Z,MAKRO-Bi-Precio|Vigente Oculto | MAKRO-Bi-Precio|Vigente Oculto,Colección FOOD Express | Vive el verano | Cuidado del cabello | Menú Verano | Menú Día del Padre | Shampoo y Acondicionador,4,https://plazavea.vteximg.com.br/arquivos/ids/493837/20188145.jpg?v=637401163326400000,2026-05-04 09:40
57985,59441,20184273,,Shampoo HEAD & SHOULDERS Aceite de Coco Frasco 375ml,HEAD & SHOULDERS,,shampoo-head-shoulders-aceite-de-coco-frasco-375ml,https://www.makro.plazavea.com.pe/shampoo-head-shoulders-aceite-de-coco-frasco-375ml/p,298,Cuidado del Cabello,308,17.8,17.8,17.8,1,,False,True,PEN,1.0,17.8,3000-01-02T05:00:00Z,MAKRO-Bi-Precio|Vigente Oculto | MAKRO-Bi-Precio|Vigente Oculto,Delivery Express | Colección FOOD Express | Catálogo H&S y Old Spice SPSA | P&G | Lo Mejor en Cuidado Personal | Vive el verano,12,https://plazavea.vteximg.com.br/arquivos/ids/29772081/20184273.jpg?v=638652327627630000,2026-05-04 09:40
