product_id,sku_id,referencia,ean,nombre,marca,descripcion,link_texto,url_producto,categoria_id,categoria_nombre,categoria_id_vtex,precio_normal,precio_oferta,precio_unitario,descuento_pct,tiene_descuento,disponible,moneda,colecciones,num_colecciones,imagen_url,fecha_extraccion,vendedor,precio_cmr,patrocinado
146614968,146614969,,,Pasta Linguine Barilla Empaque 500 g,BARILLA,Empaque 500 g,https://www.tottus.com.pe/tottus-pe/articulo/146614968/pasta-linguine-barilla-empaque-500-g/146614969,https://www.tottus.com.pe/tottus-pe/articulo/146614968/pasta-linguine-barilla-empaque-500-g/146614969,CATG17609,Pastas Especiales,J0101010801,13.5,10.9,10.9,19.3,True,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/10173805_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
117117008,117117009,,,Pasta Trigrano América Orgánica Penne Caja 227 g,AMERICA ORGANICA,Caja 227 g,https://www.tottus.com.pe/tottus-pe/articulo/117117008/trigrano-penne-america-organica-227g/117117009,https://www.tottus.com.pe/tottus-pe/articulo/117117008/trigrano-penne-america-organica-227g/117117009,CATG17609,Pastas Especiales,J0101010802,18.9,18.9,18.9,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/41158774_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
115806873,115806874,,,Fideo Agnesi Spaguetti Integral Bolsa 500 g,AGNESI,Bolsa 500 g,https://www.tottus.com.pe/tottus-pe/articulo/115806873/fideo-agnesi-spaguetti-integral-bolsa-500-g/115806874,https://www.tottus.com.pe/tottus-pe/articulo/115806873/fideo-agnesi-spaguetti-integral-bolsa-500-g/115806874,CATG17609,Pastas Especiales,J0101010803,14.91,14.91,14.91,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/40904475_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
113711716,113711717,,,Fideo Fetuccini con Espinaca Montanara Bolsa 600 g,MONTANARA,Bolsa 600 g,https://www.tottus.com.pe/tottus-pe/articulo/113711716/fideo-fetuccini-con-espinaca-montanara-600-g/113711717,https://www.tottus.com.pe/tottus-pe/articulo/113711716/fideo-fetuccini-con-espinaca-montanara-600-g/113711717,CATG17609,Pastas Especiales,J0101010802,7.9,7.9,7.9,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/10203844_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
119665824,119665825,,,Fideo Barilla Pennette Rigatte Integral Caja 500 g,BARILLA,Caja 500 g,https://www.tottus.com.pe/tottus-pe/articulo/119665824/fideo-pennette-rigatte-integralbarilla-500-g/119665825,https://www.tottus.com.pe/tottus-pe/articulo/119665824/fideo-pennette-rigatte-integralbarilla-500-g/119665825,CATG17609,Pastas Especiales,J0101010803,16.9,15.9,15.9,5.9,True,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/41011042_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
113710839,113710840,,,Spaghetti Orgánico América Bolsa 227 g,AMERICA ORGANICA,Bolsa 227 g,https://www.tottus.com.pe/tottus-pe/articulo/113710839/spaghetti-organico-america-bolsa-227-g/113710840,https://www.tottus.com.pe/tottus-pe/articulo/113710839/spaghetti-organico-america-bolsa-227-g/113710840,CATG17609,Pastas Especiales,J0101010802,21.5,14.0,14.0,34.9,True,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/41158769_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
113715627,113715628,,,Macaroni y Cheese Original Kraft Caja 206 g,KRAFT,Caja 206 g,https://www.tottus.com.pe/tottus-pe/articulo/113715627/macaroni-y-cheese-original-kraft-caja-206-g/113715628,https://www.tottus.com.pe/tottus-pe/articulo/113715627/macaroni-y-cheese-original-kraft-caja-206-g/113715628,CATG17609,Pastas Especiales,J0101010802,7.1,6.5,6.5,8.5,True,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/10167903_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
117249918,117249919,,,Pasta Pennette Integral Misura Empaque 500 g,MISURA,Empaque 500 g,https://www.tottus.com.pe/tottus-pe/articulo/117249918/pasta-pennette-integralmisura-500g/117249919,https://www.tottus.com.pe/tottus-pe/articulo/117249918/pasta-pennette-integralmisura-500g/117249919,CATG17609,Pastas Especiales,J0101010803,14.51,14.51,14.51,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/42867200_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
119666401,119666402,,,Fideo Lasagne Bolognesi Barilla Caja 500 g,BARILLA,Caja 500 g,https://www.tottus.com.pe/tottus-pe/articulo/119666401/fideo-lasagne-bolognesi-barilla-caja-500-g/119666402,https://www.tottus.com.pe/tottus-pe/articulo/119666401/fideo-lasagne-bolognesi-barilla-caja-500-g/119666402,CATG17609,Pastas Especiales,J0101010802,19.6,19.6,19.6,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/40740100_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
141106961,141106964,,,Pasta Andina Fusilli Proteica Amor Bolsa 227 g,AMERICA ORGANICA,Bolsa 227 g,https://www.tottus.com.pe/tottus-pe/articulo/141106961/pasta-andina-fusilli-proteica-amor-bolsa-227-g/141106964,https://www.tottus.com.pe/tottus-pe/articulo/141106961/pasta-andina-fusilli-proteica-amor-bolsa-227-g/141106964,CATG17609,Pastas Especiales,J0101010802,23.9,23.9,23.9,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/43492205_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
